True Track
 [-3.70263786e+00 -1.09217311e+00]
 [-2.98568137e+00 -1.45634260e+00]
 [-2.05221732e+00  2.58487353e+00]
 [-1.05178722e+00 -8.59434278e-01]
 [-3.47284491e-01 -1.34851372e-01]]

Observed Track 3
[[  0.99049127  -1.79461878]
 [  2.29831003   1.70415039]
 [  1.75398091  -0.56323877]
 [  4.34473613  -2.348884  ]
 [  4.44440316   0.79440034]
 [  6.05759297  -1.88682667]
 [  7.34432076  -1.09812674]
 [  8.36181518  -1.17952228]
 [  8.17199439  -3.01033532]
 [  9.28515718  -3.0846979 ]
 [ 10.943617    -3.2348618 ]
 [ 12.75475132  -2.31261429]
 [ 11.94061164  -4.6687787 ]
 [ 12.99219432  -3.31023166]
 [ 14.59107602  -1.99331539]
 [ 15.8997634   -4.45045301]
 [ 16.43262484  -5.02559226]
 [ 13.8256968   -4.72842197]
 [ 17.21734125  -5.8330503 ]
 [ 18.27279297  -6.13008184]
 [ 20.39749938  -6.58220527]
 [ 19.31138359  -7.29086462]
 [ 20.83482009  -9.40839154]
 [ 21.04748795 -10.21172408]
 [ 23.13997276  -9.47822823]
 [ 23.05611997  -8.69851841]
 [ 25.22666079 -11.86043562]
 [ 24.09789616 -11.67395774]
 [ 23.51836725 -12.57376254]
 [ 25.21843918 -15.40105077]
 [ 25.74822714 -14.83043092]
 [ 29.18004664 -13.06105676]
 [ 27.13838318 -14.17311253]
 [ 27.89282034 -16.34364957]
 [ 26.67033907 -15.59199064]
 [ 29.88881083 -18.55548949]
 [ 27.73657721 -19.16539973]
 [ 28.09278174 -20.332658  ]
 [ 28.82488461 -21.89298028]
 [ 30.74664525 -22.65292996]
 [ 30.52174713 -22.2082123 ]
 [ 30.77655    -23.79124013]
 [ 30.2425582  -24.83945908]
 [ 29.64078307 -28.90973581]
 [ 29.01657431 -26.46712353]
 [ 31.24572742 -29.54395144]
 [ 31.54235784 -29.22016655]
 [ 31.27462716 -31.05818841]
 [ 32.10193749 -32.86031061]
 [ 32.01821961 -31.4521267 ]
 [ 30.2661857  -33.31112048]
 [ 30.89114691 -34.15583693]
 [ 32.14357826 -35.48927213]
 [ 32.5808945  -36.94732622]
 [ 34.07572664 -37.92848881]
 [ 29.3632662  -39.43841819]
 [ 30.85789641 -41.59977651]
 [ 28.81826906 -41.07424247]
 [ 29.95744019 -43.55368491]
 [ 31.29091878 -42.05663754]
 [ 29.04032192 -45.46042176]
 [ 30.0949794  -43.53075746]
 [ 29.31964796 -45.47874406]
 [ 30.34190134 -47.43684568]
 [ 26.64806301 -46.91756414]
 [ 28.46286518 -46.36143684]
 [ 25.32322172 -51.23217479]
 [ 28.15633911 -49.62604227]
 [ 25.06533297 -50.75628103]
 [ 25.18014151 -50.69041215]
 [ 24.50295388 -52.92429918]
 [ 23.97471409 -53.25342149]
 [ 24.46915385 -54.21192987]
 [ 22.51334857 -55.81124061]
 [ 22.69507312 -56.43337904]
 [ 19.98747604 -57.28465853]
 [ 19.69796388 -56.74504013]
 [ 20.87629846 -58.38935636]
 [ 18.85063075 -58.67447069]
 [ 20.08764375 -57.47274023]
 [ 17.82401183 -58.72419431]
 [ 15.13455422 -59.04279105]
 [ 17.02641463 -61.38956579]
 [ 14.61410794 -61.27369677]
 [ 12.73570784 -60.87782526]
 [ 12.17860713 -62.33424969]
 [ 11.37402549 -62.65294984]
 [ 11.85026994 -61.86604137]
 [  8.66212771 -62.67048986]
 [  8.92528473 -63.47324103]
 [  8.96062698 -64.71023216]
 [  7.01101982 -62.88737514]
 [  5.14808062 -64.04376036]
 [  7.21126797 -62.06802833]
 [  4.28202554 -63.98322305]
 [  2.22867189 -64.90541985]
 [  3.54540318 -64.6339041 ]
 [  0.21498744 -64.40756386]
 [  0.51516124 -63.84832659]
 [  0.7020575  -64.08180882]
 [ -1.65208849 -64.45044732]
 [ -3.03413751 -64.47397366]
 [ -2.59797268 -64.09977897]
 [ -4.49540613 -64.19370182]
 [ -6.72594235 -63.18996511]
 [ -8.26125888 -62.81621   ]
 [ -7.62996742 -62.76044392]
 [ -9.59852181 -63.22741186]
 [-10.6124664  -64.54189807]
 [-11.41710883 -63.82604884]
 [-13.42651672 -61.88122651]
 [-13.93160451 -61.92934769]
 [-13.53538113 -61.63144912]
 [-15.35865493 -60.67119386]
 [-15.21239237 -61.37121119]
 [-15.22685542 -59.4670987 ]
 [-19.18073047 -58.81097637]
 [-18.56717783 -58.46125448]
 [-19.39793884 -58.76551708]
 [-19.35382349 -56.4332635 ]
 [-20.94625519 -56.01264783]
 [-21.84096488 -58.1886918 ]
 [-23.45896681 -57.3172405 ]
 [-20.56579152 -56.3665562 ]
 [-22.05999168 -54.89518863]
 [-24.74271016 -54.3049217 ]
 [-25.41047963 -51.85858487]
 [-23.03250922 -52.52696047]
 [-26.81472464 -52.93495341]
 [-27.12384897 -51.45786934]
 [-28.073343   -49.86392131]
 [-28.18110899 -48.83929933]
 [-29.95667275 -49.27057558]
 [-29.42787423 -47.27397356]
 [-29.49208217 -45.89465172]
 [-29.89472728 -45.03297446]
 [-30.05252489 -45.53101965]
 [-30.78876003 -43.06860199]
 [-31.42914519 -41.85068841]
 [-31.49635583 -40.67022633]
 [-30.51222534 -42.09467089]
 [-33.63765577 -39.62618922]
 [-32.88073903 -38.14417544]
 [-33.30617256 -36.58368138]
 [-32.49157019 -35.93862317]
 [-32.70479976 -34.81187511]
 [-32.73429822 -33.80194729]
 [-34.39028416 -32.92211194]
 [-32.16975992 -31.2868065 ]
 [-32.59235956 -31.78561013]
 [-30.58614148 -29.3834965 ]
 [-32.00735016 -30.76683309]
 [-30.84048117 -28.02685821]
 [-31.80514208 -27.22479294]
 [-31.84453239 -27.8726418 ]
 [-33.75038105 -25.5242263 ]
 [-32.09943445 -25.33443366]
 [-31.18062086 -23.51200582]
 [-31.7999914  -23.00783211]
 [-31.35851117 -19.10692605]
 [-30.34570828 -20.26145483]
 [-30.00979978 -20.40625594]
 [-29.36734515 -19.55133274]
 [-28.16753452 -17.70230469]
 [-28.32244701 -18.0772397 ]
 [-27.63522721 -16.86444077]
 [-26.85042527 -15.74830842]
 [-26.34336663 -13.88491601]
 [-29.15357531 -12.14783791]
 [-25.58989904 -13.1708532 ]
 [-26.83178018 -10.98477757]
 [-23.77559311 -11.4361226 ]
 [-23.70112563  -9.98028976]
 [-23.41789591  -8.74666138]
 [-22.6038692   -9.54406082]
 [-22.98585283  -9.37770324]
 [-21.92879176  -5.88273816]
 [-22.44986375  -6.41615101]
 [-20.49288977  -6.88164314]
 [-18.88473233  -4.84201191]
 [-18.35269478  -4.41083394]
 [-18.09814706  -3.8346718 ]
 [-16.54746317  -2.53191248]
 [-16.64036823  -4.60432526]
 [-15.66540557  -4.3468537 ]
 [-14.76857011  -1.41750876]
 [-10.898906    -2.96097972]
 [-11.15056048  -0.70762116]
 [-12.26907158  -1.41788958]
 [-10.88636041  -0.79436237]
 [ -8.96830243   0.44623089]
 [ -9.19177264  -1.83634185]
 [ -6.6174378   -1.67556327]
 [ -7.44104443  -2.08529121]
 [ -6.72521827   0.28369962]
 [ -4.83848061   0.58071514]
 [ -2.642812     0.32010478]
 [ -2.56498571   0.29461661]
 [  0.86608262  -0.94833106]
 [ -0.14330388  -1.85871915]]

[[[ 9.99506560e-01 -3.14107591e-02]
  [ 2.00752835e+00 -9.45153862e-02]
  [ 3.01317054e+00 -1.89254746e-01]
  ...
  [-2.02988625e+00 -3.23719212e-02]
  [-1.02029886e+00 -3.23719212e-04]
  [-1.02029886e-02 -3.23719183e-06]]

 [[ 1.32144058e+00 -9.50340931e-01]
  [ 2.85535364e+00  4.74302651e-01]
  [ 2.83011530e+00  1.95783108e-02]
  ...
  [-2.80286490e+00 -3.64338112e-01]
  [-9.50317751e-01  2.12705329e-02]
  [ 4.36670976e-02  1.17255940e+00]]

 [[ 1.33984634e+00  1.67407084e+00]
  [ 5.89178997e-01 -1.74289363e-02]
  [ 2.49313417e+00 -1.04659879e+00]
  ...
  [-2.05221732e+00  2.58487353e+00]
  [-1.05178722e+00 -8.59434278e-01]
  [-3.47284491e-01 -1.34851372e-01]]

 [[ 9.90491273e-01 -1.79461878e+00]
  [ 2.29831003e+00  1.70415039e+00]
  [ 1.75398091e+00 -5.63238771e-01]
  ...
  [-2.56498571e+00  2.94616605e-01]
  [ 8.66082622e-01 -9.48331057e-01]
  [-1.43303879e-01 -1.85871915e+00]]]
